"nummer","datum_ca","typ","geteilt_von","thema","zusammenfassung","kernaussagen","engagement","originaltext"
"23","2026-04 (vor 2 Monaten)","Eigener Beitrag","","Zwei-KI-Gegenprüfung (Best Practice)","Anlässlich einer Mac-Mini-Optimierung (Spotlight/mdfs frisst CPU) beschreibt Robin, wie ihm eine KI die FSTAB-Lösung zuflüsterte und eine zweite, unabhängige KI sie gegenprüfte. Daraus leitet er die Best Practice ab, dass eine KI sich niemals selbst bewerten darf.","Eine KI darf sich niemals selbst bewerten / Eine zweite, unabhängige KI muss unvoreingenommen gegenprüfen / KI ist noch nicht intelligent genug, selbstkritisch zu sein / KIs arbeiten auf Basis von Wahrscheinlichkeiten","113 Impressions","Bei der gestrigen Mac Mini - Leistungs-Optimierung hat mir mein zweiter Kern zum Schluss den Mittelfinger gezeigt. 😂 / Spotlight hat einfach 50% der Leistung meiner ersten sechs Kerne dauerhaft gefressen. (Davor: Mindestens 25% der Prozessorleistung meines Mac Minis für nichts!) / Nur, weil die Spotlight-Suche sich dauerhaft mit dem Backup Volume meiner externen Festplatte beschäftigt hat. (mdfs) / Lösung: FSTAB Änderung um den Start Mount der Backup Volume zu verhindern. Spotlight zusätzlich deaktiviert. / PS: Das mit FSTAB hat mir eine KI zugeflüstert. 😉 / Ich habe nochmal eine weitere KI genommen, die das gegengeprüft hat. Tatsächlich ist das die absolute Best Practice. / Eine KI darf niemals sich selbst bewerten, sondern es muss eine zweite unabhängige machen, die sich genau auf diese Bewertung konzentriert und unvoreingenommen ist. / Sie ist noch nicht intelligent genug, den Sinn dahinter zu sehen selbstkritisch zu sein. / Und KIs arbeiten zudem auf Basis von Wahrscheinlichkeiten."
"24","2026-04 (vor 2 Monaten)","Eigener Beitrag","","AGI-Produkt-Ankündigung (kurz)","Sehr kurzer, euphorischer Ankündigungs-Post, dass sein finales AGI-Produkt steht. Kaum inhaltlicher Text, vor allem Emojis und Feier-Stimmung.","Das endgültige AGI-Produkt steht / Jetzt geht es richtig los","66 Impressions","Das endgültige 🌋 AGI Produkt steht 🐉 ‼️ 🥳 🥳 🥳 / 😊 Jetzt geht's richtig 🆎 ‼️"
"38","2026-04 (vor 2 Monaten)","Eigener Beitrag","","AI-Ninja: Von generativer KI zu AGI","Robin teilt seinen AI-Native-Weg von generativer KI Richtung AGI: KI in Phasen erleben, mehrere Kontextfenster steuern, empirisch lernen, wie das System tickt, und Learnings festhalten, während man die KI trainiert. Er betont, dass KI nie unser Leben gelebt hat und das menschliche Streben sie irgendwann Richtung AGI trägt. (In einer KI-Gruppe gepostet.)","KI erlebt man in Phasen – aktuell wie mehrere Paralleluniversen steuern / Empirisch lernen, wie das System tickt – Fokus ist alles / Learnings festhalten und KI in neue Sphären tragen / KI fehlen Trainingsdaten zur Selbsteinschätzung / Menschliches Streben trägt KI Richtung AGI","36 Impressions","Wie wird man zu einem AI-Ninja? 🥷 / 🌌 Meine Gedanken von generativer KI in Richtung AGI / Ich glaube, viele erleben KI in verschiedenen Phasen. / Wenn ich meine aktuelle Phase in einem Bild darstellen müsste, dann so: / - Du tauchst in beliebige Paralleluniversen ein und steuerst dabei deinen eigenen DeLorean aus „Zurück in die Zukunft“. / - Du steuerst mehrere Kontextfenster, während du den Zeitverlauf strategisch mitdenkst und dich empirisch zu den richtigen Ergebnissen vorarbeitest. / - Du kannst KI zu einer besseren Version ihrer selbst werden lassen. / - Nach und nach lernst du empirisch, wie dieses System tickt. Am Ende ist Fokus dabei alles. / - Die wahre Macht besteht darin, die Learnings mit ihr so gut wie nur möglich festzuhalten, während du sie trainierst. Du lernst exakt die Dinge, die sie noch nicht kann, um sie durch deine Beobachtungen gezielt in diese neuen Sphären zu tragen. / 🤖 Und genau diese Erfahrungen basieren bei mir auf meinem AI-Native-Weg, den ich seit den Anfängen der generativen KI gehe. / 🚨 KI kann sich heute in vielen Punkten noch nicht korrekt selbst einschätzen, weil ihr dafür ganz einfach die Trainingsdaten fehlen. Deshalb solltest du jederzeit ein Bewusstsein dafür haben, wo ihre Grenzen liegen. / 📈 Für Menschen, die sich täglich damit beschäftigen und bemerken, wie hoch die Geschwindigkeit inzwischen sein muss, um überhaupt mit den aktuellen Meilensteinen Schritt zu halten, ist längst klar, dass KI alles verändern wird und dass sich daraus unglaublich viele Chancen ergeben. / 🌋 KI hat nie unser Leben gelebt. / Sie kennt nicht dieses tiefe menschliche Verlangen, etwas verändern zu wollen, weil man spürt, dass man wirklich etwas Großes verändern kann, wenn man den Fokus auf die Wirkung und das Ergebnis setzt und den Lärm ignoriert. 🏔️ / Sonst hätte sie uns längst überholt. Sonst wäre sie schon im AGI-Zustand. / Vielleicht ist genau dieses Streben in Kombination mit einem oder mehreren Menschen am Ende das, was KI irgendwann selbst in Richtung AGI trägt. / Vielleicht ist genau das der Punkt. / PS: Ich glaube, dass noch mehr Phasen vor mir liegen. / Und ich kann sie finden, während ich mit KI weiterarbeite. Früher oder später. / Das ist auch nur eine Frage von Fokus und Wahrscheinlichkeit. 🌌 / Und genau so werden sich diese Fragen mit KI auch von irgendjemandem irgendwann beantworten lassen. 😉"
"39","2026-04 (vor 2 Monaten)","Eigener Beitrag","","AI-Ninja: Von generativer KI zu AGI (Repost in Gruppe)","Identischer AI-Ninja-Beitrag, erneut in einer KI-Gruppe (KI-Quartier) geteilt. Inhaltlich gleich wie Nr. 38: Phasen der KI-Erfahrung, empirisches Lernen, fehlende Trainingsdaten zur Selbsteinschätzung und menschliches Streben als AGI-Treiber.","KI erlebt man in Phasen – mehrere Kontextfenster steuern / Empirisch lernen, wie das System tickt – Fokus ist alles / KI fehlen Trainingsdaten zur Selbsteinschätzung / Menschliches Streben trägt KI Richtung AGI","25 Impressions","Wie wird man zu einem AI-Ninja? 🥷 / 🌌 Meine Gedanken von generativer KI in Richtung AGI / Ich glaube, viele erleben KI in verschiedenen Phasen. / Wenn ich meine aktuelle Phase in einem Bild darstellen müsste, dann so: / - Du tauchst in beliebige Paralleluniversen ein und steuerst dabei deinen eigenen DeLorean aus „Zurück in die Zukunft“. / - Du steuerst mehrere Kontextfenster, während du den Zeitverlauf strategisch mitdenkst und dich empirisch zu den richtigen Ergebnissen vorarbeitest. / - Du kannst KI zu einer besseren Version ihrer selbst werden lassen. / - Nach und nach lernst du empirisch, wie dieses System tickt. Am Ende ist Fokus dabei alles. / - Die wahre Macht besteht darin, die Learnings mit ihr so gut wie nur möglich festzuhalten, während du sie trainierst. Du lernst exakt die Dinge, die sie noch nicht kann, um sie durch deine Beobachtungen gezielt in diese neuen Sphären zu tragen. / 🤖 Und genau diese Erfahrungen basieren bei mir auf meinem AI-Native-Weg, den ich seit den Anfängen der generativen KI gehe. / 🚨 KI kann sich heute in vielen Punkten noch nicht korrekt selbst einschätzen, weil ihr dafür ganz einfach die Trainingsdaten fehlen. Deshalb solltest du jederzeit ein Bewusstsein dafür haben, wo ihre Grenzen liegen. / 📈 Für Menschen, die sich täglich damit beschäftigen und bemerken, wie hoch die Geschwindigkeit inzwischen sein muss, um überhaupt mit den aktuellen Meilensteinen Schritt zu halten, ist längst klar, dass KI alles verändern wird und dass sich daraus unglaublich viele Chancen ergeben. / 🌋 KI hat nie unser Leben gelebt. / Sie kennt nicht dieses tiefe menschliche Verlangen, etwas verändern zu wollen, weil man spürt, dass man wirklich etwas Großes verändern kann, wenn man den Fokus auf die Wirkung und das Ergebnis setzt und den Lärm ignoriert. 🏔️ / Sonst hätte sie uns längst überholt. Sonst wäre sie schon im AGI-Zustand. / Vielleicht ist genau dieses Streben in Kombination mit einem oder mehreren Menschen am Ende das, was KI irgendwann selbst in Richtung AGI trägt. / Vielleicht ist genau das der Punkt. / PS: Ich glaube, dass noch mehr Phasen vor mir liegen. / Und ich kann sie finden, während ich mit KI weiterarbeite. Früher oder später. / Das ist auch nur eine Frage von Fokus und Wahrscheinlichkeit. 🌌 / Und genau so werden sich diese Fragen mit KI auch von irgendjemandem irgendwann beantworten lassen. 😉"
"40","2026-04 (vor 2 Monaten)","Eigener Beitrag","","AI-Ninja: Von generativer KI zu AGI (Repost in Gruppe)","Erneut der AI-Ninja-Beitrag, diesmal in der Gruppe Technology Investor Club geteilt. Inhaltlich identisch: KI-Phasen, empirisches Lernen, Learnings festhalten, fehlende Trainingsdaten und menschliches Streben als AGI-Treiber.","KI erlebt man in Phasen / Empirisch lernen, wie das System tickt – Fokus ist alles / Learnings festhalten während des Trainierens / Menschliches Streben trägt KI Richtung AGI","17 Impressions","Wie wird man zu einem AI-Ninja? 🥷 / 🌌 Meine Gedanken von generativer KI in Richtung AGI / Ich glaube, viele erleben KI in verschiedenen Phasen. / Wenn ich meine aktuelle Phase in einem Bild darstellen müsste, dann so: / - Du tauchst in beliebige Paralleluniversen ein und steuerst dabei deinen eigenen DeLorean aus „Zurück in die Zukunft“. / - Du steuerst mehrere Kontextfenster, während du den Zeitverlauf strategisch mitdenkst und dich empirisch zu den richtigen Ergebnissen vorarbeitest. / - Du kannst KI zu einer besseren Version ihrer selbst werden lassen. / - Nach und nach lernst du empirisch, wie dieses System tickt. Am Ende ist Fokus dabei alles. / - Die wahre Macht besteht darin, die Learnings mit ihr so gut wie nur möglich festzuhalten, während du sie trainierst. Du lernst exakt die Dinge, die sie noch nicht kann, um sie durch deine Beobachtungen gezielt in diese neuen Sphären zu tragen. / 🤖 Und genau diese Erfahrungen basieren bei mir auf meinem AI-Native-Weg, den ich seit den Anfängen der generativen KI gehe. / 🚨 KI kann sich heute in vielen Punkten noch nicht korrekt selbst einschätzen, weil ihr dafür ganz einfach die Trainingsdaten fehlen. Deshalb solltest du jederzeit ein Bewusstsein dafür haben, wo ihre Grenzen liegen. / 📈 Für Menschen, die sich täglich damit beschäftigen und bemerken, wie hoch die Geschwindigkeit inzwischen sein muss, um überhaupt mit den aktuellen Meilensteinen Schritt zu halten, ist längst klar, dass KI alles verändern wird und dass sich daraus unglaublich viele Chancen ergeben. / 🌋 KI hat nie unser Leben gelebt. / Sie kennt nicht dieses tiefe menschliche Verlangen, etwas verändern zu wollen, weil man spürt, dass man wirklich etwas Großes verändern kann, wenn man den Fokus auf die Wirkung und das Ergebnis setzt und den Lärm ignoriert. 🏔️ / Sonst hätte sie uns längst überholt. Sonst wäre sie schon im AGI-Zustand. / Vielleicht ist genau dieses Streben in Kombination mit einem oder mehreren Menschen am Ende das, was KI irgendwann selbst in Richtung AGI trägt. / Vielleicht ist genau das der Punkt. / PS: Ich glaube, dass noch mehr Phasen vor mir liegen. / Und ich kann sie finden, während ich mit KI weiterarbeite. Früher oder später. / Das ist auch nur eine Frage von Fokus und Wahrscheinlichkeit. 🌌 / Und genau so werden sich diese Fragen mit KI auch von irgendjemandem irgendwann beantworten lassen. 😉"
"41","2026-04 (vor 2 Monaten)","Eigener Beitrag","","AI-Ninja: Von generativer KI zu AGI (Original)","Der Original-AI-Ninja-Beitrag auf Robins eigenem Profil (Nr. 38–41 sind Varianten bzw. Reposts desselben Texts). KI in Phasen erleben, empirisches Lernen, Learnings festhalten und menschliches Streben als AGI-Treiber. Wurde 10 Mal repostet.","KI erlebt man in Phasen – mehrere Paralleluniversen steuern / Empirisch lernen, wie das System tickt – Fokus ist alles / Learnings festhalten und KI in neue Sphären tragen / Menschliches Streben trägt KI Richtung AGI","100 Impressions, 10 Reposts, 1 Reaktion","Wie wird man zu einem AI-Ninja? 🥷 / 🌌 Meine Gedanken von generativer KI in Richtung AGI / Ich glaube, viele erleben KI in verschiedenen Phasen. / Wenn ich meine aktuelle Phase in einem Bild darstellen müsste, dann so: / - Du tauchst in beliebige Paralleluniversen ein und steuerst dabei deinen eigenen DeLorean aus „Zurück in die Zukunft“. / - Du steuerst mehrere Kontextfenster, während du den Zeitverlauf strategisch mitdenkst und dich empirisch zu den richtigen Ergebnissen vorarbeitest. / - Du kannst KI zu einer besseren Version ihrer selbst werden lassen. / - Nach und nach lernst du empirisch, wie dieses System tickt. Am Ende ist Fokus dabei alles. / - Die wahre Macht besteht darin, die Learnings mit ihr so gut wie nur möglich festzuhalten, während du sie trainierst. Du lernst exakt die Dinge, die sie noch nicht kann, um sie durch deine Beobachtungen gezielt in diese neuen Sphären zu tragen. / 🤖 Und genau diese Erfahrungen basieren bei mir auf meinem AI-Native-Weg, den ich seit den Anfängen der generativen KI gehe. / 🚨 KI kann sich heute in vielen Punkten noch nicht korrekt selbst einschätzen, weil ihr dafür ganz einfach die Trainingsdaten fehlen. Deshalb solltest du jederzeit ein Bewusstsein dafür haben, wo ihre Grenzen liegen. / 📈 Für Menschen, die sich täglich damit beschäftigen und bemerken, wie hoch die Geschwindigkeit inzwischen sein muss, um überhaupt mit den aktuellen Meilensteinen Schritt zu halten, ist längst klar, dass KI alles verändern wird und dass sich daraus unglaublich viele Chancen ergeben. / 🌋 KI hat nie unser Leben gelebt. / Sie kennt nicht dieses tiefe menschliche Verlangen, etwas verändern zu wollen, weil man spürt, dass man wirklich etwas Großes verändern kann, wenn man den Fokus auf die Wirkung und das Ergebnis setzt und den Lärm ignoriert. 🏔️ / Sonst hätte sie uns längst überholt. Sonst wäre sie schon im AGI-Zustand. / Vielleicht ist genau dieses Streben in Kombination mit einem oder mehreren Menschen am Ende das, was KI irgendwann selbst in Richtung AGI trägt. / Vielleicht ist genau das der Punkt. / PS: Ich glaube, dass noch mehr Phasen vor mir liegen. / Und ich kann sie finden, während ich mit KI weiterarbeite. Früher oder später. / Das ist auch nur eine Frage von Fokus und Wahrscheinlichkeit. 🌌 / Und genau so werden sich diese Fragen mit KI auch von irgendjemandem irgendwann beantworten lassen. 😉"
"42","2026-03 (vor 3 Monaten)","Repost ohne Kommentar","Felix Becker (Technical Lead & AI Ambassador @ REWE digital)","KI-Agenten & IT-Security","Repost ohne eigenen Kommentar. Der Originalbeitrag argumentiert, dass nicht KI-Agenten das Problem sind, sondern schlechte Security, die ein Sprachmodell knacken kann. KI-Red-Teams könnten ein riesiger Sicherheitsgewinn sein; DevOps und Zero-Trust-Architektur werden unterschätzt.","(Repost ohne Kommentar) Geteilter Beitrag von Felix Becker zu KI-Agenten, Security und DevOps","241 Reaktionen, 38 Kommentare, 18 Reposts (Originalbeitrag)",""
"43","2026-03 (vor 3 Monaten)","Repost mit Kommentar","Patrick Nassall (Innovation Strategist)","Priorisierung UND Tempo","Kurzer Kommentar zu einem Beitrag, der Priorisierung über Tempo stellt. Robin korrigiert: Priorisierung und Tempo schließen sich nicht aus, sondern ergänzen sich – eins ohne das andere reicht nicht.","Priorisierung und Tempo schließen sich nicht aus / Sie ergänzen sich / Eins ohne das andere ist nicht genug","57 Impressions","Priorisierung und Tempo schließen sich nicht gegenseitig aus. / Sie ergänzen sich. / Eins ohne das andere ist nicht genug. / Die Chinesen haben das verstanden 😉"
"44","2026-03 (vor 3 Monaten)","Eigener Beitrag","","Perplexity-Deal & Sprachsteuerung","Robin teilt einen MyDealz-Deal (Perplexity Pro 1 Jahr für 2 Euro) und schwärmt davon, Modelle wie Opus für Webrecherche per Sprachmodus zu steuern. Lob für das Produkt und das Preis-Leistungs-Verhältnis.","Perplexity Pro Deal (1 Jahr für 2 Euro) ist verrückt günstig / Spaß, Modelle wie Opus per Sprachmodus für Webrecherche zu kontrollieren / Das Produkt macht viel Spaß","80 Impressions","https://lnkd.in/d_9PKH6D / Der MyDealz Deal ist wirklich nice. / Mach verdammt viel Spaß für zwei Euro im Jahr Modelle wie Opus 4.6 für die Webseitenrecherche über einen ziemlich guten Sprachmodus zu kontrollieren. 👌 / Plus man hört, da kommt noch mehr ins Abo aber alleine Commet und Perplexity Pro für ein ganzes Jahr für zwei Euro ist absolut verrückt. / Das Produkt macht wirklich viel Spaß. 👌"
"57","2026-03 (vor 3 Monaten)","Eigener Beitrag","","Stolz auf Claude Code & Geschwindigkeit","Persönlicher Beitrag: Robin ist stolz darauf, früh erkannt zu haben, dass Claude Code alles verändert, und sich nicht unterzuordnen. Er sucht Partner, die seine Geschwindigkeit ohne Kompromisse in Qualität mitgehen, und feiert seine in 30 Minuten gebaute Claude-Code-Statusline.","Früh erkannt, dass Claude Code alles verändert / Geschwindigkeit ist alles – keine Kompromisse in Qualität und Tempo / Transkription ist das beste Mittel, mit KI zu kommunizieren / Sucht Partner, die diese Geschwindigkeit mitgehen / Don't repeat yourself, drive fast, ideas first = AI first","85 Impressions, 6 Reposts","Ich bin echt verdammt stolz auf meine Arbeit mit Claude Code. / Ich bin auch verdammt stolz darauf das Ich einer der ersten war, die gesagt haben, Claude Code verändert alles. / Ich bin verdammt stolz darauf, dass ich mich vor einem Jahr bei den größten Unternehmen für AI beworben habe und damals schon gesagt habe dass Claude Code alles verändert und das dass mein wichtigstes Wissen ist, welches ich ins Unternehmen bringen will. / Vor wenigen Tagen sehe ich dann einen Beleg dafür dass ich recht behalten hatte in einem ""Statement"" von exakt diesem Unternehmen: ""Wir können Mitarbeiter die Claude Code verstehen überall einsetzen."" / Ich arbeite nicht für Sie und ich denke, das hat einen einfachen Grund. / Ich wusste zwar viel aber ich war gleichzeitig kein Mitarbeiter der einfach Dinge tut, sondern einer der direkt im Bewerbungsgespräch zeigt, dass er sich nicht unterordnet, sondern Geschwindigkeit braucht und diese auch fordert und priorisiert. / Ich weiß aber, dass ich die perfekte Person für das Ziel bin, das ich mir gesetzt habe: / Mit den besten KI-Modellen, auf den besten Tech-Stacks, auf den besten KI Technologien, mit den besten KI Werkzeugen, auf der besten Entscheidungsebene zu arbeiten ー am schnellsten / Weil Geschwindigkeit ist alles 🎯🎯🎯 / Selbst Leute in AI haben das Gefühl den Anschluss zu verlieren. Das liegt daran, dass extreme Geschwindigkeit notwendig ist. / Ich bin verdammt stolz darauf, dass ich recht hatte mit meiner Aussage das Transkription das beste Mittel ist mit KI zu kommunizieren. (Danke, an Christoph Magnussen für seinen inspirierenden ChatGPT YouTube Short damals.) / Ich suche Partner die genau diese Geschwindigkeit mitgehen. / Keine Kompromisse in der Qualität. Keine Kompromisse in der Geschwindigkeit. / Auf meine Claude Code Multi Projekt Überwachungs-statusline bin ich auch ein bisschen stolz. ー Aber am meisten Stolz macht mich dass ich das mit Claude Code zusammen in 30 Minuten gezaubert habe. / Schnell entscheiden, selbst entscheiden für diese Geschwindigkeit. / Don't repeat yourself, drive fast and ideas first ist für mich dasselbe wie AI first. Jeden Tag"
"58","2026-03 (vor 3 Monaten)","Eigener Beitrag","","Freiheit als Wettbewerbsvorteil","Manifest-artiger Beitrag: Im KI-Zeitalter wird Freiheit zum Wettbewerbsvorteil. Robin lehnt Kontrolle, Hierarchien und Bürokratie ab, arbeitet frei, schnell und realitätsgeprüft seit 14 Monaten. Die größte Zukunft sieht er in AI-First-Startups mit Tempo und Verantwortung.","Freiheit wird im KI-Zeitalter zum Wettbewerbsvorteil / KI belohnt keine Bürokratie, sondern Klarheit, Geschwindigkeit, Umsetzung / Geistige Unabhängigkeit (Feynman) ist entscheidend / Größte Zukunft in AI-First-Startups / Neuer Kompass: Freiheit, Realität, Umsetzungskraft","173 Impressions","„Science is the belief in the ignorance of experts.“ – Richard Feynman / Im KI-Zeitalter wird nicht nur Technologie zum Wettbewerbsvorteil. Freiheit wird zum Wettbewerbsvorteil. / Wer dauerhaft kontrolliert, ausgebremst und durch Hierarchien verlangsamt wird, kann kein außergewöhnliches Potenzial entfalten. Nicht als Entwickler. Nicht als Denker. Nicht als Builder. / Menschen wie Richard Feynman waren nicht nur stark wegen ihres Wissens. Ihre Stärke lag auch in ihrer geistigen Unabhängigkeit. Im Mut, selbst hinzusehen, selbst zu prüfen und selbst zu bauen. / Denn KI belohnt keine Bürokratie. KI belohnt Klarheit, Geschwindigkeit und echte Umsetzung. / Zu viele Systeme sichern Kontrolle, statt Fortschritt zu ermöglichen. / Mein Kompass ist deshalb radikal einfach: / Ich arbeite frei. Ich handle schnell. Ich prüfe an der Realität. Und ich verschwende keine Energie an Strukturen, die Wirkung verhindern. / Ich habe bereits entschieden, meinen Weg genau so zu gehen. Und ich gehe ihn. Jeden Tag. Seit 14 Monaten. / Denn in einer Welt, in der KI alles beschleunigt, gewinnt nicht, wer die meisten Abstimmungsschleifen produziert. Es gewinnt, wer die richtigen Entscheidungen im richtigen Moment trifft. / Deshalb sehe ich die größte Zukunft in neuen AI-First Startups. In Teams, die Geschwindigkeit nicht für gefährlich halten, sondern für notwendig. / Der neue Kompass lautet: Freiheit, Realität und Umsetzungskraft."
"59","2026-03 (vor 3 Monaten)","Repost mit Kommentar","Fabian Ulitzka (Gründer faive / CEO Klickkonzept)","KI-Potenziale schätzen (Entwickler)","Robin meint, gerade Entwickler sollten KI-Potenziale schätzen, so wie sie früher Aufwände schätzten. Es sei exponentielles Wachstum, das viele aus Angst ignorieren. Wer KI nur negativ bewertet, sucht Bestätigung, um die Augen weiter schließen zu dürfen.","Entwickler sollten KI-Potenziale schätzen wie früher Aufwände / Es ist exponentielles Wachstum – das Problem ist Angst / Negative KI-Bewertung = Suche nach Bestätigung zum Wegschauen / KI arbeitet mit Potenzialen, die sie selbst noch nicht erfassen kann","61 Impressions","Und diese Zustandsaufnahme ist nur der aktuelle Spiegel. / Wir Entwickler sollten früher immer Schätzungen mit der Glaskugel machen um zu wissen wie lange das Programm braucht. / Ironischerweise sind glaube ich diese Dinge die mich an meisten genervt haben in Zeiten von Ai am wichtigsten. Schätzung der Potentiale. / Weil es so offensichtlich ist dass sich mit den letzen KI Potentialen alles verändert. / Es ist exponentielles Wachstum und jeder der das nicht versteht verschließt die Augen aus Angst. / Gerade wir Entwickler die immer technische Abläufe schätzen sollten, sollten die KI Potentiale schätzen. / Das Problem ist nur Angst. Doch wir könnten immer noch mit der Ki Arbeiten. / Fun Fact: ich muss immer schmunzeln wenn ein Entwickler mit negativen Ergebnissen KI bewertet, weil KI wichtiges nicht verstanden hat: Dann weis ich: derjenige sucht nicht nach Lösungen sondern nach einer Bestätigung zum weiterhin Augen schließen dürfen. / Wenn ein Entwickler dann noch ki selbst zitiert bezüglich wie sich ki selbst einschätzt wird es richtig wild: und jeder der tiefer gearbeitet hat und mehr wie ein Wissenschaftler vorgeht bemerkt eins sehr schnell: KI arbeitet mit Potentialen die Sie selbst noch nicht erfassen kann. / Wegen der Zeit 🦕 / Das wiederspricht der Sache selbst: exponentiell heißt schnell."
"60","2026-03 (vor 3 Monaten)","Eigener Beitrag","","Kampfgeist / Motivation","Kurzer Motivationspost mit einem YouTube-Link zum League-of-Legends-Worlds-Anthem (Linkin Park). Aufruf, immer weiterzumachen.","Kampfgeist ist wichtig / Immer weitermachen","83 Impressions","Kampfgeist ist wichtig... Immer weitermachen 👊 / https://lnkd.in/dDTtXBJz"
"61","2026-03 (vor 3 Monaten)","Repost mit Kommentar","Saskia Teichmann (Full-Stack-Developerin & KI-Strategin)","API-Keys & Kostenkontrolle","Reaktion auf einen Beitrag über eine 82.000-Dollar-Rechnung durch kompromittierte API-Keys. Robin empfiehlt, API-Keys wie Prepaid-Tarife mit kleinen Guthaben einzurichten oder über Abo-Modelle zu arbeiten. Kosten bei null zu halten skaliere besser mit vielen Kunden.","API-Keys wie Prepaid-Handytarife mit kleinem Guthaben einrichten / Über Abo-Modelle arbeiten (z.B. Codex via ChatGPT Plus) / Kein unlimitiertes Guthaben, kein Auto-Abbuchen / KI-Kosten bei 0 zu halten skaliert besser mit vielen Kunden / Vorausdenken sollte nicht optional sein","112 Impressions","Api keys so einstellen wie prepaid Handy Karten Tarife. Vielleicht 2-3 Euro hinterlegen. Fertig. / Openrouter bspw kann das. / Ansonsten über die Abo Modelle arbeiten. Bspw Codex über die ChatGPT 20 Euro plus Mitgliedschaft nutzen. / Kein unlimited api Guthaben, kein auto-abbuchen / Und ich finde sowieso die Kosten für ki Lösungen bei 0 zu lassen bzw. keine zu haben lässt viel schöner mit vielen Kunden skalieren 😉 / Vorausdenken sollte nicht optional sein bei sowas. / Und das Beispiel gibt mir recht."
"62","2026-03 (vor 3 Monaten)","Repost mit Kommentar","Simon Theophil (Softwareentwickler & Gründer)","KI-Verbote in Firmen","Reaktion auf einen Beitrag über ein KI-Verbot für Entwickler. Robin sieht das ironisch und sarkastisch: Wer KI verbietet, wirft Mitarbeiter um Jahrzehnte zurück. Man könne auch gleich Computer und Stimme verbieten.","KI-Verbot wirft Mitarbeiter im Vergleich zur Konkurrenz um Jahrzehnte zurück / Sarkasmus: dann gleich Computer verbieten und auf Schreibmaschine umstellen / Auch die Stimme verbieten, weil sie zu gut mit KI funktioniert","86 Impressions","Neuen Chef suchen weil der alte bald ohnehin zwangsweise nicht mehr dein Chef ist? Und du dann nicht mehr angestellt? / Selten ne einfachere Frage in Bezug auf Kündigungsgründen erhalten. 😅 / Aber das ernsthafte Problem dahinter: du als Mitarbeiter bleibst bei einer Firma, die dich zurückwirft und das bei der Geschwindigkeit von KI um Jahrzehnte im Vergleich zu deinen Mitbewerbern in anderen Firmen die KI nutzen dürfen. / Und jetzt noch mal final ein paar sarkastische Kommentare: / Verbietet am besten auch den Computer und stellt wieder auf Schreibmaschine um. / Und am besten gleichzeitig die Stimme verbieten, weil die funktioniert viel zu gut mit den modernen KI Technologien"
"63","2026-03 (vor 3 Monaten)","Repost mit Kommentar","Larissa Witzl (Valor Studio – Voice-KI)","Beste Sprache für Gedanken/Voice","Sehr kurzer Kommentar zu einem Voice-KI-Beitrag. Robin betont, dass die eigenen besten Gedanken in jeder Sprache die beste Sprache sind.","Deine besten Gedanken in egal welcher Sprache sind die beste Sprache","121 Impressions, 1 Reaktion","Deine besten Gedanken in egal welcher Sprache sind auf jeden Fall die beste Sprache. 🎤 🏆"
"64","2026-03 (vor 3 Monaten)","Eigener Beitrag","","Persönlicher Audio-Pitch","Robin lädt alle ein, mit ihm ins Gespräch zu kommen, und stellt einen persönlichen Audio-Pitch (Video mit Untertiteln) bereit. Kein langer Textinhalt, eher Call-to-Connect.","Einladung zum Gespräch / Persönlicher Audio-Pitch bereitgestellt","277 Impressions, 1 Kommentar, 3 Reaktionen","Hiermit lade ich alle ein, mit mir ins Gespräch zu kommen. / Ich habe meinen persönlichen Audio Pitch hiermit für Sie bereitgestellt."
"77","2026-02 (vor 4 Monaten)","Repost mit Kommentar","Ju Haslinger (CIO-Assistenz / IT-Beratung)","Agentic Engineer als Rolle (Heizer/Orchestrator)","Reaktion auf ein IT-Rollenspiel-Posting. Robin beschreibt seine Rolle als Agentic Engineer metaphorisch als Heizer, der Tokens effizient verbrennt, plus Orchestrator, der alles einbezieht. Er ergänzt einen Software-Lehrer, der Best Practices einbringt.","Aktuelle Rolle: Agentic Engineer für KI / Metapher Heizer: Tokens effektiv und energieeffizient verbrennen / Orchestrator bezieht alles ein für das beste Ergebnis / Software-Lehrer bringt Best Practices der letzten Jahre ein","76 Impressions","Ja, es ist ein Rollenspiel. Und KI hat es durchgespielt. / Mit Legacy Code Spielregeln kommt es nicht so klar. / Ist übrigens auch nicht meine Stärke. / Meine Rolle aktuell tatsächlich wäre Agentic Engineer für KI. / Wenn wir eine Rolle draus machen wollen: / Ein Heizer, der so gut wie er nur kann, versucht effektiv, Tokens zu verbrennen. / Plus der Orchestrator von allem, der alles miteinbezieht damit der Heizer die ganze Zeit so gut er kann arbeiten kann um die beste Energieeffizienz rauszuholen, das beste Ergebnis des Token verbrennens rauszuholen. / Wir können auch noch über Deutsch oder Philosophie, Lehrer reden. Über eine Software Lehrer, der den Heizer auf abstrakte Entwicklung ansetzt und vor allen Dingen alle best practices auf seine Erfahrung mit Software Entwicklung über die letzten Jahre mit einbringt."
